name;price;page;quantity;unit;unit_price;type;is_outlier;brand
Jumbo Koffiepads Dark Roast 56 Stuks 386,4 g;6.99;4.0;56.0;st;0.0178316326530612;pads;False;jumbo
Jumbos Lungo Intenso Koffiecups 40 Stuks;8.69;4.0;40.0;st;0.0310357142857142;cups;False;jumbo
Jumbos Koffiepads Mokka 56 Stuks;6.59;4.0;56.0;st;0.0168112244897959;pads;False;jumbo
Douwe Egberts Aroma Rood Filterkoffie 250 g;4.45;4.0;250.0;g;0.0178;filter;False;douwe egberts
Douwe Egberts Aroma Rood Grove Maling Filterkoffie 500 g;8.15;4.0;500.0;g;0.0163;filter;False;douwe egberts
LOR Espresso Ristretto Ground Coffee 20 Stuks 104 g;7.79;4.0;20.0;st;0.0556428571428571;ground;False;lor
Jumbos Beste Koffiebonen Crema 4 x 1 kg;51.96;5.0;4000.0;g;0.01299;beans;False;jumbo
Jumbos Dolce Gusto Lungo Koffiecups 30 Stuks;6.99;5.0;30.0;st;0.0332857142857142;capsule;False;jumbo
La Place Koffiebonen Ristretto 1 kg;15.79;5.0;1000.0;g;0.01579;beans;False;la place
NESCAFA Dolce Gusto, Koffie Espresso Intenso, 30 capsules, 210 gr;8.99;5.0;30.0;capsules;0.0428095238095238;capsule;False;nescafe
Jumbo Koffiefilters No. 4 Ongebleekt 100 Stuks;0.85;5.0;100.0;st;0.0012142857142857;filter;False;jumbo
LOR Espresso Supremo Gemalen Koffie 20 Stuks 104 g;7.79;5.0;20.0;st;0.0556428571428571;ground;False;lor
Douwe Egberts DA(c)cafA(c) Filterkoffie 500 g;9.45;5.0;500.0;g;0.0189;filter;False;douwe egberts
La Place Koffiebonen Lungo Dark 1KG;15.79;5.0;1000.0;g;0.01579;beans;False;la place
Jumbos Espresso Forte Koffiecups 40 Stuks;8.69;5.0;40.0;st;0.0310357142857142;cups;False;jumbo
Lavazza QualitA  Oro koffiebonen 500 g;15.99;5.0;500.0;g;0.03198;beans;False;lavazza
NescafA(c) Gold Crema Oploskoffie 100g;4.99;5.0;100.0;g;0.0499;instant;False;nescafe
Smit & Dorlas Classic Roast Koffiecups 10 Stuks;3.99;6.0;10.0;st;0.057;cups;False;smit and dorlas
